country,transaction_id,source,product_type,amount,transaction_date,customer_id,payment_method,shipping_address,discount_code,tax_amount,shipping_cost
Poland,248,in-store,clothing,6004.38,5/1/2021,145,debit card,2 7th Hill,WELCOME15,124.12,7.89
Morocco,249,in-store,groceries,4459.4,7/18/2021,13,mobile payment,61677 Eggendart Alley,SALE10,462.1,12.98
Indonesia,250,mobile app,electronics,4167.68,11/18/2021,120,mobile payment,825 Village Green Drive,SUMMER20,412.18,35.44
,251,mobile app,furniture,5413.29,8/29/2021,134,mobile payment,7856 Welch Lane,WELCOME15,242.69,48.25
China,252,mobile app,clothing,974.99,3/21/2021,43,cash,44 Pearson Junction,WELCOME15,447.91,17.32
China,253,mobile app,furniture,8415.52,8/24/2021,17,credit card,1853 Valley Edge Hill,SUMMER20,57.01,46.44
Sweden,254,mobile app,electronics,6282.26,8/27/2021,49,cash,6219 Hooker Terrace,SUMMER20,39.14,34.39
Nicaragua,255,mobile app,electronics,1132.97,12/18/2021,17,credit card,6878 Milwaukee Park,SALE10,244.34,32.61
Japan,256,in-store,electronics,2294.37,7/3/2021,118,cash,53 Eagle Crest Alley,SUMMER20,226.03,41.96
France,257,online,groceries,4599.4,1/11/2021,141,credit card,69 Luster Junction,SUMMER20,247.79,3.69
,258,in-store,electronics,6335.98,5/22/2021,100,debit card,5 Manley Hill,SUMMER20,367.41,44.11
Indonesia,259,online,clothing,5203.43,10/22/2021,61,mobile payment,28 Carpenter Way,SUMMER20,348.41,45.89
Colombia,260,in-store,clothing,2700.65,4/13/2021,85,mobile payment,5186 Debs Street,WELCOME15,87.31,1.04
France,261,mobile app,furniture,9878.3,9/7/2021,139,cash,72563 Arrowood Parkway,SUMMER20,222.94,17.53
Malaysia,262,online,clothing,1175.07,9/17/2021,86,credit card,429 Longview Terrace,WELCOME15,150.2,37.86
,263,online,electronics,8646.15,11/23/2021,71,credit card,502 Utah Lane,SUMMER20,166.73,27.1
Bangladesh,264,in-store,clothing,6063.06,6/30/2021,120,credit card,5 Straubel Center,SALE10,400.41,39.81
,265,in-store,clothing,9900.26,3/20/2021,89,credit card,28329 Northwestern Parkway,SALE10,21.79,43.66
China,266,mobile app,clothing,7029.05,1/15/2021,73,mobile payment,2213 Bonner Street,SALE10,41.59,2.48
,267,in-store,groceries,4496.06,9/28/2021,109,credit card,73262 Caliangt Point,SUMMER20,58.61,43.97
Denmark,268,online,electronics,6394.95,4/2/2021,62,credit card,68216 Express Trail,SALE10,326.87,24.7
,269,in-store,groceries,4890.56,7/6/2021,56,debit card,1654 Surrey Place,SUMMER20,285.5,29.64
China,270,online,electronics,5326.58,2/5/2021,134,debit card,67539 Burning Wood Drive,SUMMER20,97.53,46.22
Ukraine,271,mobile app,furniture,792.39,9/18/2021,97,cash,922 Hoepker Junction,SUMMER20,281.26,41.27
,272,in-store,furniture,9400.88,1/18/2021,20,credit card,87497 Hanover Park,WELCOME15,187.0,3.25
,273,mobile app,clothing,622.39,7/28/2021,9,debit card,4968 Riverside Street,WELCOME15,461.71,25.81
Sweden,274,online,furniture,4404.0,9/24/2021,4,mobile payment,901 Ridgeway Parkway,SALE10,499.21,32.07
China,275,online,electronics,8821.64,3/25/2021,66,credit card,314 Nevada Pass,SUMMER20,462.55,0.19
Ethiopia,276,in-store,clothing,6963.66,9/22/2021,38,mobile payment,83 Prairie Rose Parkway,SALE10,465.22,44.92
China,277,online,groceries,2858.89,12/15/2021,19,credit card,96 Myrtle Way,SUMMER20,168.25,15.71
United States,278,mobile app,furniture,9018.97,5/7/2021,103,credit card,649 Sycamore Lane,WELCOME15,406.19,1.44
,279,mobile app,clothing,5724.97,2/28/2021,70,debit card,85 Pankratz Plaza,WELCOME15,364.75,13.81
,280,online,electronics,4630.47,4/12/2021,69,mobile payment,15418 Karstens Way,WELCOME15,106.58,11.76
Palestinian Territory,281,in-store,furniture,5934.65,6/16/2021,133,mobile payment,8 Gulseth Pass,WELCOME15,75.47,8.42
Indonesia,282,mobile app,electronics,1551.54,11/10/2021,112,credit card,6 Myrtle Circle,SUMMER20,26.71,0.76
,283,in-store,furniture,2112.02,2/4/2021,120,credit card,5788 Farwell Place,SUMMER20,121.46,6.39
Russia,284,mobile app,furniture,656.03,8/16/2021,32,cash,2184 Barby Plaza,WELCOME15,99.13,1.42
Micronesia,285,online,furniture,8316.34,2/9/2021,69,credit card,58 Nancy Point,SALE10,211.8,4.24
Greece,286,mobile app,electronics,2273.39,7/27/2021,144,debit card,19 Pawling Drive,WELCOME15,157.35,43.29
Bangladesh,287,mobile app,furniture,3925.47,4/10/2021,140,mobile payment,908 Welch Terrace,SALE10,419.15,19.02
,288,online,clothing,2037.57,8/9/2021,115,cash,94398 Fieldstone Street,SALE10,224.24,21.56
,289,mobile app,groceries,3851.17,11/19/2021,9,credit card,40030 East Terrace,WELCOME15,392.3,39.93
United States,290,online,groceries,4577.97,11/23/2021,118,credit card,369 Delaware Trail,WELCOME15,85.16,35.15
Poland,291,online,groceries,2306.97,9/25/2021,7,mobile payment,55743 Utah Junction,SUMMER20,123.32,35.2
United States,292,in-store,electronics,347.75,9/27/2021,102,debit card,466 Lyons Hill,SALE10,194.22,14.3
France,293,in-store,clothing,7363.34,6/18/2021,44,credit card,6 Twin Pines Court,SUMMER20,22.24,7.97
,294,mobile app,groceries,7322.0,10/23/2021,43,mobile payment,0 Eggendart Alley,SUMMER20,156.21,0.23
Tunisia,295,in-store,groceries,9004.98,7/13/2021,140,debit card,3 Rutledge Drive,WELCOME15,27.66,48.59
Sweden,296,in-store,furniture,7913.68,10/4/2021,33,cash,4548 Talisman Point,SALE10,404.9,49.4
,297,online,groceries,8340.55,10/28/2021,62,credit card,47 Hansons Way,SALE10,15.86,15.11
,298,in-store,clothing,227.81,1/8/2021,119,cash,61 Grayhawk Center,SUMMER20,187.66,34.57
,299,online,furniture,1166.02,1/15/2021,122,mobile payment,161 Emmet Park,SUMMER20,28.95,43.34
United States,300,mobile app,groceries,3376.13,10/12/2021,59,credit card,25 Northwestern Terrace,SUMMER20,59.44,41.42
Russia,301,in-store,groceries,5059.15,5/25/2021,36,debit card,4961 Schmedeman Circle,WELCOME15,357.1,38.21
Russia,302,in-store,furniture,3715.22,1/11/2021,69,debit card,463 Thierer Lane,SUMMER20,296.53,33.88
,303,online,groceries,1878.19,5/5/2021,143,credit card,5192 Menomonie Road,SUMMER20,406.86,9.59
Jamaica,304,in-store,clothing,2193.1,7/15/2021,135,mobile payment,9 Daystar Hill,WELCOME15,239.75,16.99
,305,mobile app,electronics,9155.74,9/9/2021,67,mobile payment,57 Laurel Drive,SUMMER20,488.8,11.24
China,306,mobile app,furniture,9159.42,6/22/2021,142,credit card,75463 Burrows Circle,WELCOME15,459.24,29.76
,307,online,groceries,1568.57,11/26/2021,141,credit card,09 Bluestem Pass,SALE10,201.34,47.91
,308,in-store,furniture,1940.74,5/29/2021,102,debit card,60 Waubesa Lane,SUMMER20,120.76,12.87
,309,mobile app,furniture,3125.15,8/5/2021,7,mobile payment,3297 Marquette Junction,WELCOME15,453.8,23.94
Croatia,310,online,groceries,1292.26,8/29/2021,72,mobile payment,6900 North Place,SUMMER20,401.04,25.59
,311,online,clothing,7732.11,6/5/2021,35,debit card,615 Express Circle,WELCOME15,238.07,17.15
Brazil,312,online,furniture,5370.71,6/19/2021,22,cash,4145 Montana Point,WELCOME15,120.33,10.73
,313,mobile app,electronics,5182.9,9/25/2021,2,credit card,6844 Spohn Lane,WELCOME15,32.64,18.21
Mongolia,314,in-store,groceries,5951.88,7/23/2021,112,credit card,750 Fairfield Plaza,WELCOME15,47.6,37.83
Vietnam,315,online,clothing,2020.83,8/23/2021,93,mobile payment,2591 Dunning Circle,WELCOME15,280.64,34.22
,316,mobile app,groceries,1620.56,12/7/2021,32,cash,08 Everett Place,SUMMER20,309.42,1.01
Sweden,317,online,furniture,7130.05,11/8/2021,110,mobile payment,0 Maple Trail,WELCOME15,100.1,14.8
Philippines,318,in-store,electronics,8347.16,4/21/2021,51,credit card,74 Grayhawk Parkway,SUMMER20,246.63,1.82
,319,in-store,electronics,4621.02,12/18/2021,115,credit card,2237 Melby Crossing,SALE10,225.14,11.15
Philippines,320,mobile app,clothing,9535.46,12/1/2021,40,cash,02212 Raven Drive,SUMMER20,151.46,27.21
China,321,mobile app,electronics,2962.12,4/18/2021,1,cash,0 Gale Point,SALE10,5.68,39.93
Poland,322,mobile app,furniture,6478.11,12/20/2021,17,credit card,01912 Schiller Park,SALE10,474.37,36.9
,323,in-store,electronics,1111.74,10/27/2021,60,debit card,709 Reindahl Terrace,WELCOME15,18.46,33.18
China,324,mobile app,electronics,9689.95,6/25/2021,64,mobile payment,898 Fairfield Hill,SALE10,120.47,2.68
China,325,in-store,electronics,6467.91,12/30/2021,43,cash,68 Carpenter Terrace,WELCOME15,363.48,22.05
Ukraine,326,mobile app,clothing,9916.83,11/20/2021,39,credit card,7805 Becker Pass,SUMMER20,267.1,12.92
,327,in-store,clothing,6207.11,1/3/2021,79,cash,52 Mallard Plaza,SUMMER20,490.42,6.1
United States,328,in-store,clothing,1327.2,2/28/2021,18,mobile payment,226 Moulton Park,WELCOME15,223.06,5.14
Philippines,329,mobile app,groceries,3597.54,10/9/2021,83,debit card,5 Longview Plaza,SALE10,5.22,40.0
Russia,330,mobile app,furniture,6078.17,5/13/2021,66,debit card,09 Kim Point,WELCOME15,235.01,9.26
Czech Republic,331,mobile app,furniture,4767.42,5/17/2021,113,mobile payment,04300 Pine View Place,SUMMER20,404.94,20.48
,332,in-store,electronics,325.94,7/27/2021,99,cash,34411 Monterey Junction,WELCOME15,61.68,32.58
,333,online,groceries,220.93,7/17/2021,50,debit card,0022 Rigney Point,WELCOME15,34.96,13.91
Indonesia,334,in-store,electronics,6227.51,8/24/2021,92,mobile payment,460 Rutledge Way,SALE10,26.26,31.08
Sweden,335,mobile app,groceries,124.2,3/31/2021,137,cash,5 Thompson Alley,WELCOME15,341.25,30.51
Palau,336,online,groceries,5380.65,8/19/2021,107,debit card,6 Gina Terrace,SUMMER20,349.57,42.22
Albania,337,online,clothing,7843.5,10/5/2021,72,credit card,1279 Forest Dale Terrace,SALE10,414.4,30.87
China,338,in-store,clothing,297.72,5/5/2021,36,cash,49 Tomscot Lane,SUMMER20,313.6,39.92
Tanzania,339,mobile app,furniture,2278.47,9/30/2021,88,debit card,69 Forest Dale Point,SALE10,79.4,34.25
New Zealand,340,online,groceries,7175.7,9/7/2021,29,credit card,9723 Helena Drive,WELCOME15,240.76,24.1
,341,mobile app,groceries,5440.38,12/11/2021,30,credit card,6 Dwight Terrace,SUMMER20,493.18,30.05
China,342,in-store,clothing,2953.2,6/5/2021,33,mobile payment,64 Beilfuss Junction,SALE10,180.87,49.49
Indonesia,343,mobile app,groceries,6235.6,3/6/2021,120,credit card,70 Hermina Alley,WELCOME15,122.52,13.89
,344,online,electronics,258.58,9/28/2021,38,credit card,58 Saint Paul Junction,SALE10,143.85,43.95
Mexico,345,mobile app,clothing,2862.56,11/28/2021,27,mobile payment,6 Fair Oaks Park,SUMMER20,48.83,29.02
Yemen,346,online,clothing,2978.17,4/15/2021,109,cash,2415 Farragut Point,SUMMER20,121.99,16.89
Ukraine,347,online,groceries,7287.2,10/18/2021,21,cash,5 Cordelia Way,SALE10,117.05,23.3
,348,online,groceries,6670.0,3/23/2021,11,cash,219 Redwing Street,SUMMER20,459.2,0.33
,349,online,furniture,5226.93,5/18/2021,56,cash,2179 Cardinal Hill,SALE10,198.35,22.77
China,350,in-store,electronics,9726.38,11/16/2021,129,cash,8 Oneill Crossing,WELCOME15,248.57,36.61
,351,online,electronics,7075.98,6/10/2021,148,cash,75 Ohio Parkway,SUMMER20,39.17,15.81
,352,mobile app,clothing,1407.39,5/25/2021,19,mobile payment,549 Village Circle,SALE10,3.92,19.83
,353,mobile app,clothing,4045.26,2/22/2021,37,credit card,6249 Cardinal Road,SUMMER20,226.34,4.28
China,354,online,groceries,287.76,1/30/2021,115,cash,12088 Coleman Park,SALE10,401.63,19.41
,355,in-store,electronics,5585.62,4/27/2021,116,debit card,86218 Iowa Junction,SALE10,17.82,10.03
,356,online,clothing,5733.18,3/30/2021,147,mobile payment,36900 Golf Course Plaza,WELCOME15,454.4,12.12
,357,online,electronics,4229.16,1/6/2021,77,mobile payment,7961 Darwin Parkway,WELCOME15,228.74,23.41
France,358,online,clothing,7957.77,9/21/2021,38,cash,60344 Arizona Drive,WELCOME15,418.64,8.83
Nigeria,359,in-store,electronics,6037.93,10/2/2021,62,credit card,59121 Lunder Parkway,SUMMER20,98.27,49.2
Poland,360,online,furniture,5422.46,3/24/2021,132,mobile payment,1 Parkside Circle,SUMMER20,390.23,42.86
China,361,online,groceries,8590.41,9/19/2021,74,credit card,76632 Montana Point,WELCOME15,194.41,19.5
Greece,362,online,electronics,1107.99,11/25/2021,36,cash,4569 Washington Junction,WELCOME15,364.61,38.63
Madagascar,363,in-store,electronics,7972.39,4/27/2021,103,mobile payment,4622 Sunbrook Junction,WELCOME15,379.46,1.01
Philippines,364,mobile app,electronics,3061.02,6/13/2021,43,cash,8 Hooker Way,SALE10,76.53,29.97
,365,in-store,clothing,3927.49,5/15/2021,142,credit card,4260 Armistice Pass,SALE10,313.48,49.3
Canada,366,in-store,groceries,7086.26,7/3/2021,97,credit card,44 Cordelia Drive,SALE10,346.43,47.69
Mexico,367,online,electronics,1503.24,5/16/2021,116,credit card,3 Lien Alley,SALE10,234.36,21.04
China,368,mobile app,furniture,2742.32,11/19/2021,80,debit card,965 Schurz Lane,SUMMER20,386.78,17.4
Philippines,369,mobile app,clothing,9666.08,11/17/2021,45,cash,7 Sullivan Lane,WELCOME15,276.57,34.0
Russia,370,mobile app,clothing,2705.6,4/1/2021,29,cash,89 Barby Avenue,WELCOME15,255.9,26.29
Poland,371,in-store,electronics,2978.54,7/14/2021,48,mobile payment,6 Logan Circle,SUMMER20,239.75,42.12
China,372,in-store,electronics,1467.72,8/19/2021,63,debit card,452 Oxford Avenue,SALE10,131.41,34.57
China,373,mobile app,furniture,5230.5,8/5/2021,50,mobile payment,57142 Sunbrook Trail,SUMMER20,370.68,40.28
Iran,374,online,groceries,5608.52,11/4/2021,149,cash,2 Welch Place,SALE10,315.97,0.82
China,375,online,clothing,6369.85,11/20/2021,10,mobile payment,6361 Arizona Park,SALE10,11.4,23.46
,376,mobile app,groceries,6519.58,6/21/2021,121,mobile payment,271 Westend Road,WELCOME15,268.13,18.69
Ukraine,377,online,furniture,3127.86,11/18/2021,50,cash,42922 Pankratz Trail,SALE10,463.31,26.19
Colombia,378,online,electronics,9783.53,1/31/2021,126,credit card,09429 Summer Ridge Lane,SALE10,487.59,47.02
China,379,mobile app,groceries,8248.29,2/12/2021,21,credit card,5336 2nd Parkway,SUMMER20,464.0,14.71
,380,mobile app,electronics,469.82,5/29/2021,79,cash,24647 Burrows Drive,SUMMER20,284.57,27.92
Czech Republic,381,online,clothing,290.87,3/22/2021,5,mobile payment,083 Leroy Trail,SALE10,425.28,48.24
Peru,382,in-store,groceries,3352.83,3/1/2021,93,credit card,8 Kinsman Park,SUMMER20,460.6,5.1
,383,in-store,furniture,1707.22,2/8/2021,79,debit card,04 Artisan Terrace,SALE10,367.15,6.98
France,384,mobile app,electronics,6876.19,6/27/2021,59,credit card,4653 Dennis Plaza,SUMMER20,356.88,35.95
,385,mobile app,clothing,7490.61,7/22/2021,14,credit card,40 8th Drive,SALE10,74.96,5.39
Costa Rica,386,online,electronics,8563.18,9/10/2021,44,debit card,151 Sullivan Center,SALE10,229.37,37.58
Vietnam,387,mobile app,groceries,1765.03,9/12/2021,11,mobile payment,737 Montana Terrace,SUMMER20,154.95,24.82
,388,in-store,groceries,832.87,3/25/2021,36,credit card,70 Carey Center,SUMMER20,140.96,46.17
Ukraine,389,online,electronics,8173.33,3/26/2021,24,credit card,4964 Crescent Oaks Junction,WELCOME15,327.8,1.81
Ukraine,390,online,furniture,9272.16,2/12/2021,143,mobile payment,0854 Autumn Leaf Hill,SUMMER20,420.27,3.56
China,391,online,electronics,491.59,10/1/2021,59,cash,8 Moulton Alley,SUMMER20,138.58,46.36
,392,online,groceries,9249.32,1/30/2021,109,cash,38815 Ilene Junction,SALE10,73.02,16.05
Russia,393,mobile app,groceries,6888.36,1/14/2021,123,mobile payment,9573 Havey Place,WELCOME15,144.2,26.23
Colombia,394,mobile app,clothing,5355.3,12/1/2021,99,debit card,36976 7th Drive,SUMMER20,300.98,40.6
Albania,395,mobile app,groceries,2577.97,3/30/2021,90,credit card,10173 Pennsylvania Street,SUMMER20,76.88,20.22
Mauritius,396,online,groceries,5535.19,1/20/2021,78,cash,53 Toban Avenue,SALE10,489.38,46.62
China,397,mobile app,electronics,3905.3,4/9/2021,18,cash,32469 Hanson Road,WELCOME15,105.18,9.2
,398,online,groceries,1248.33,5/18/2021,102,cash,2 Dexter Terrace,SALE10,84.69,11.5
Botswana,399,online,clothing,3218.69,12/14/2021,46,mobile payment,3 Golf Course Avenue,WELCOME15,224.99,37.31
,400,in-store,clothing,1524.68,8/19/2021,131,debit card,7475 Michigan Center,SUMMER20,235.1,14.9
,401,online,groceries,2623.16,1/1/2021,53,mobile payment,4 Hagan Street,WELCOME15,363.89,15.29
,402,in-store,clothing,2695.26,2/4/2021,8,credit card,2 Springs Center,SALE10,282.93,27.73
China,403,mobile app,electronics,4153.3,11/13/2021,121,debit card,97706 Harper Street,WELCOME15,180.16,26.86
Indonesia,404,mobile app,clothing,141.3,5/26/2021,97,debit card,8 Butterfield Drive,WELCOME15,427.28,44.75
,405,online,clothing,8733.64,5/29/2021,57,cash,7519 Wayridge Terrace,SALE10,420.79,8.21
,406,online,groceries,6382.28,7/9/2021,44,credit card,95 Westridge Avenue,WELCOME15,89.52,7.24
Poland,407,mobile app,clothing,8029.66,2/6/2021,53,debit card,1 Oak Valley Terrace,WELCOME15,427.92,45.69
Ukraine,408,in-store,electronics,5137.17,4/9/2021,12,debit card,284 Nova Terrace,SUMMER20,261.03,27.6
Indonesia,409,mobile app,clothing,6747.09,5/30/2021,12,credit card,4265 Del Mar Road,WELCOME15,249.05,26.87
,410,online,electronics,5413.02,12/13/2021,27,mobile payment,80 Miller Place,SUMMER20,352.44,43.18
,411,in-store,electronics,8854.71,8/9/2021,136,credit card,84619 Haas Terrace,WELCOME15,471.02,38.3
Ecuador,412,online,furniture,8963.7,6/14/2021,3,credit card,050 Towne Drive,SALE10,296.8,47.23
Philippines,413,online,electronics,3372.3,5/31/2021,128,credit card,407 Grim Court,SALE10,361.48,45.91
Ukraine,414,online,clothing,7305.12,2/1/2021,62,mobile payment,51 Marcy Point,SUMMER20,109.31,41.39
Finland,415,online,electronics,4739.25,4/22/2021,127,cash,51 Logan Trail,WELCOME15,295.77,20.07
,416,online,clothing,7578.4,8/13/2021,102,cash,5144 Graceland Avenue,SUMMER20,449.88,15.72
,417,mobile app,clothing,6668.73,6/27/2021,16,mobile payment,1731 Dayton Hill,SALE10,225.61,40.26
Indonesia,418,online,furniture,311.72,5/11/2021,70,mobile payment,956 Magdeline Place,SUMMER20,217.58,27.39
,419,mobile app,clothing,5493.41,2/16/2021,48,credit card,550 Melody Alley,SALE10,245.31,44.38
China,420,mobile app,electronics,6583.24,5/31/2021,8,mobile payment,8 Vermont Crossing,SUMMER20,267.33,44.74
Russia,421,mobile app,furniture,6908.06,5/27/2021,24,cash,9701 Kenwood Court,SUMMER20,34.49,8.28
Japan,422,in-store,electronics,9960.8,9/18/2021,62,cash,9520 Stuart Parkway,WELCOME15,358.04,34.73
Benin,423,in-store,electronics,1629.12,2/16/2021,85,cash,1152 Daystar Point,SALE10,427.78,6.36
Colombia,424,mobile app,groceries,5325.89,11/14/2021,59,debit card,26 Loftsgordon Center,WELCOME15,408.81,8.49
Indonesia,425,mobile app,clothing,583.89,6/20/2021,98,mobile payment,92 Northridge Parkway,WELCOME15,474.57,27.17
Bolivia,426,mobile app,clothing,6091.38,8/31/2021,70,credit card,562 Redwing Lane,SALE10,198.26,38.21
Russia,427,online,electronics,4344.33,9/13/2021,83,credit card,0 Petterle Junction,SALE10,220.08,1.65
,428,online,electronics,4719.42,6/15/2021,103,debit card,4 Haas Parkway,SUMMER20,11.71,2.75
Poland,429,online,groceries,5975.0,11/20/2021,88,cash,9221 Morrow Street,SUMMER20,202.75,3.51
Russia,430,in-store,electronics,3469.36,9/12/2021,133,mobile payment,2805 Elmside Plaza,WELCOME15,35.73,38.08
Indonesia,431,mobile app,electronics,4106.19,4/16/2021,33,credit card,18533 Fairfield Pass,SUMMER20,391.9,31.57
France,432,in-store,clothing,1598.32,10/27/2021,56,cash,1 Wayridge Crossing,SALE10,81.32,47.76
Philippines,433,online,clothing,1932.53,2/6/2021,50,mobile payment,3485 Bultman Park,SALE10,304.38,37.48
Ukraine,434,online,furniture,8590.65,12/6/2021,115,mobile payment,11 Oakridge Alley,WELCOME15,237.91,6.06
,435,in-store,electronics,3690.52,11/4/2021,39,debit card,1765 Northfield Crossing,SALE10,361.26,22.6
,436,mobile app,electronics,4889.65,6/7/2021,129,debit card,6698 Canary Road,SALE10,372.76,32.69
Greece,437,online,clothing,7778.66,10/22/2021,51,cash,891 Carioca Court,SALE10,214.92,0.69
Liberia,438,mobile app,groceries,6818.34,12/19/2021,84,credit card,383 Miller Hill,WELCOME15,196.84,1.31
Japan,439,online,groceries,905.91,3/20/2021,46,credit card,5690 7th Junction,SALE10,296.4,10.17
China,440,mobile app,clothing,3427.28,2/18/2021,73,credit card,7883 Larry Center,WELCOME15,452.12,28.74
China,441,mobile app,electronics,1640.17,12/16/2021,79,debit card,0 Lakewood Court,SALE10,337.03,3.35
,442,mobile app,furniture,6290.58,10/21/2021,40,cash,09 Brentwood Way,WELCOME15,475.51,45.33
Russia,443,online,electronics,6108.37,11/5/2021,79,debit card,8 Morningstar Drive,SALE10,157.91,36.63
Austria,444,in-store,furniture,1757.32,9/21/2021,143,credit card,84430 Heffernan Terrace,SUMMER20,34.52,7.08
China,445,mobile app,groceries,5967.33,8/18/2021,114,debit card,714 Blaine Circle,SALE10,412.75,8.83
China,446,mobile app,electronics,3360.14,12/3/2021,85,credit card,5450 Arizona Parkway,SALE10,360.18,10.21
Colombia,447,online,clothing,5737.36,10/22/2021,84,credit card,4030 Donald Place,SALE10,255.97,44.73
,448,in-store,electronics,3481.65,4/11/2021,8,mobile payment,10015 Toban Trail,SUMMER20,420.4,18.44
Indonesia,449,mobile app,groceries,5613.39,10/10/2021,68,mobile payment,083 Mosinee Hill,SALE10,81.15,24.83
China,450,online,clothing,8408.54,11/10/2021,8,mobile payment,1850 Derek Drive,WELCOME15,138.05,47.35
Argentina,451,mobile app,clothing,2565.86,7/4/2021,135,debit card,1008 Columbus Plaza,WELCOME15,175.65,33.59
Thailand,452,online,clothing,8084.07,7/5/2021,40,credit card,257 Maywood Avenue,SALE10,321.85,35.49
,453,online,clothing,901.19,11/9/2021,28,credit card,0481 Mandrake Pass,WELCOME15,349.27,30.46
Ukraine,454,in-store,electronics,7677.37,5/21/2021,22,debit card,59343 Anniversary Hill,SALE10,21.93,4.06
Peru,455,mobile app,furniture,2420.4,4/4/2021,39,cash,707 Barby Road,WELCOME15,227.58,48.41
Vietnam,456,in-store,furniture,5557.0,5/4/2021,126,mobile payment,1953 Hintze Crossing,SUMMER20,436.43,31.14
,457,online,clothing,7.98,11/18/2021,53,cash,49 Arapahoe Circle,WELCOME15,43.69,8.42
China,458,mobile app,clothing,6138.97,6/30/2021,93,debit card,7650 Ronald Regan Center,WELCOME15,335.2,13.27
Bulgaria,459,in-store,furniture,857.16,7/13/2021,96,debit card,44 Merrick Plaza,WELCOME15,122.45,29.25
China,460,online,furniture,2263.64,6/10/2021,97,mobile payment,105 Pawling Park,WELCOME15,356.18,3.96
,461,in-store,groceries,6001.43,5/27/2021,8,credit card,8 Hoard Circle,SALE10,326.61,48.55
,462,in-store,electronics,5022.1,11/13/2021,96,mobile payment,729 Burrows Alley,WELCOME15,225.1,38.72
,463,online,groceries,6423.81,5/27/2021,76,mobile payment,94161 Cambridge Avenue,WELCOME15,460.57,20.47
Brazil,464,online,electronics,5104.02,2/5/2021,72,cash,7 Reindahl Trail,SALE10,293.92,15.9
China,465,mobile app,groceries,3720.76,4/13/2021,53,mobile payment,17143 Swallow Lane,WELCOME15,318.61,21.75
,466,online,groceries,135.73,12/17/2021,90,cash,9 Lindbergh Park,SUMMER20,192.31,40.66
China,467,in-store,electronics,3116.48,4/25/2021,117,cash,36205 Porter Road,WELCOME15,54.1,2.0
,468,online,clothing,5266.56,3/29/2021,94,cash,763 Bowman Way,SUMMER20,285.6,25.11
Portugal,469,online,clothing,2980.38,6/19/2021,17,credit card,8 Anniversary Court,SALE10,256.31,46.12
Chile,470,online,furniture,8090.27,8/27/2021,143,mobile payment,9886 Blue Bill Park Street,SUMMER20,223.92,11.76
,471,online,electronics,3233.17,2/24/2021,65,debit card,6 Hanson Terrace,WELCOME15,179.37,27.92
Ethiopia,472,in-store,clothing,6137.05,5/27/2021,12,cash,59 Weeping Birch Lane,SUMMER20,347.71,1.78
Portugal,473,online,furniture,289.13,3/7/2021,75,mobile payment,7412 Crownhardt Lane,WELCOME15,217.88,10.67
,474,online,furniture,7970.44,9/20/2021,55,cash,821 Eggendart Pass,WELCOME15,229.8,37.73
,475,in-store,electronics,8087.73,11/23/2021,108,debit card,921 Magdeline Court,WELCOME15,298.0,43.74
,476,mobile app,groceries,8853.37,9/27/2021,130,debit card,4 Pankratz Court,WELCOME15,189.36,15.33
,477,mobile app,furniture,2074.32,10/6/2021,133,debit card,97 Lerdahl Drive,SALE10,25.36,38.36
Argentina,478,online,furniture,7901.36,8/24/2021,65,cash,2 Sommers Court,SALE10,193.24,25.06
France,479,mobile app,furniture,5630.1,7/16/2021,67,mobile payment,10 Evergreen Road,SALE10,392.66,32.24
,480,online,groceries,3577.18,3/14/2021,13,credit card,6 Ridge Oak Pass,SUMMER20,222.48,47.25
China,481,mobile app,groceries,6172.98,7/5/2021,130,debit card,4734 Summerview Point,WELCOME15,423.25,47.62
France,482,online,clothing,2260.25,1/12/2021,149,debit card,15029 Dennis Center,WELCOME15,465.38,18.02
Sweden,483,mobile app,clothing,5254.66,3/7/2021,115,cash,561 Lyons Plaza,WELCOME15,477.93,4.96
Colombia,484,in-store,electronics,9952.52,7/19/2021,148,credit card,1 Vermont Way,SALE10,93.36,5.62
,485,online,clothing,390.16,4/4/2021,113,cash,5 Kingsford Street,WELCOME15,315.2,3.72
France,486,mobile app,furniture,2521.06,12/1/2021,21,cash,2 Jenifer Hill,SUMMER20,122.55,34.07
Kazakhstan,487,mobile app,groceries,6993.05,10/25/2021,15,mobile payment,7 Meadow Valley Way,SUMMER20,272.99,34.32
,488,mobile app,electronics,2374.32,7/12/2021,141,cash,31109 Golden Leaf Drive,WELCOME15,139.23,25.32
,489,in-store,clothing,1267.99,2/27/2021,133,credit card,6 Elka Terrace,SUMMER20,84.66,19.22
Belarus,490,mobile app,clothing,3059.94,6/27/2021,11,cash,3646 Sutherland Parkway,WELCOME15,233.02,21.32
Mali,491,mobile app,groceries,6647.05,7/4/2021,125,mobile payment,365 Del Sol Plaza,SALE10,345.16,25.13
Ukraine,492,online,clothing,7655.46,6/29/2021,70,mobile payment,11892 Mifflin Trail,WELCOME15,384.78,46.25
,493,mobile app,groceries,6226.5,1/20/2021,54,debit card,82 Brentwood Point,SALE10,71.33,7.06
,494,online,electronics,6155.97,1/22/2021,147,credit card,45 Gale Hill,WELCOME15,487.64,29.33
China,495,in-store,clothing,900.47,1/26/2021,145,mobile payment,754 Jackson Hill,SUMMER20,392.09,4.4
Brazil,496,mobile app,furniture,9610.53,6/18/2021,121,cash,387 Myrtle Court,WELCOME15,420.46,35.13
